Período;ARS;Hospital;Localização Geográfica;Grupo Hospitalar;DDD Consumidas de Carbapenemes;DDD Consumidas dos Restantes Antibióticos;Peso
2015-08;Norte;Centro Hospitalar Universitário do Porto, E.P.E.;41.1472498, -8.6172617;Grupo E;1448;11682;0.11031452254094827
2015-08;Norte;Hospital de Magalhaes de Lemos, E.P.E.;41.1764649, -8.6649823;Psiquiátricos;0;183;0.0
2015-09;LVT;Centro Hospitalar do Oeste, E.P.E.;39.4054629, -9.1258493;Grupo B;603;6759;0.08194293798632396
2015-09;Norte;Centro Hospitalar Póvoa de Varzim / Vila do Conde, E.P.E.;41.3828711, -8.7589945;Grupo B;117;1906;0.05808724358572232
2015-09;LVT;Centro Hospitalar de Setúbal, E.P.E.;38.5283754, -8.8818638;Grupo C;364;5987;0.05742375579363504
2015-09;Centro;Centro Hospitalar do Baixo Vouga, E.P.E.;40.6362453, -8.6543716;Grupo C;635;5816;0.0984255721962828
2015-09;LVT;Hospital Distrital de Santarém, E.P.E.;39.2410946, -8.6937515;Grupo C;397;6611;0.056748771485034606
2015-09;Norte;Centro Hospitalar de Tras os Montes e Alto Douro, E.P.E.;41.3031784, -7.7515252;Grupo D;201;8459;0.023275617371558296
2015-09;Algarve;Centro Hospitalar Universitário do Algarve, E.P.E.;37.0238973, -7.9281554;Grupo D;761;14856;0.04877398080735043
2015-09;LVT;Hospital Prof. Doutor Fernando Fonseca, E.P.E.;38.7422257, -9.2264834;Grupo D;832;13773;0.05702856032877889
2015-09;LVT;Centro Hospitalar Psiquiátrico de Lisboa;38.7569771, -9.1460705;Psiquiátricos;0;270;0.0
2015-10;Centro;Hospital Arcebispo Joao Crisóstomo - Cantanhede;40.3470015, -8.5933462;Grupo A;0;195;0.0
2015-10;Centro;Centro Hospitalar de Leiria-Pombal, E.P.E.;39.7414812, -8.7982706;Grupo C;401;10097;0.03819664741752493
2015-10;Norte;Hospital da Senhora da Oliveira Guimaraes, E.P.E.;41.4387173, -8.3086907;Grupo C;431;7192;0.05664078633163537
2015-10;LVT;Hospital Distrital de Santarém, E.P.E.;39.2410946, -8.6937515;Grupo C;467;7875;0.05608102034497562
2015-10;Centro;Centro Hospitalar Tondela-Viseu, E.P.E.;40.516364, -8.0827433;Grupo D;841;7893;0.09633112854439627
2015-10;LVT;Centro Hospitalar Universitário Lisboa Central, E.P.E.;38.7166948, -9.1371248;Grupo E;1388;21535;0.0605561332442662
2015-11;Centro;Hospital Arcebispo Joao Crisóstomo - Cantanhede;40.3470015, -8.5933462;Grupo A;0;167;0.0
2015-11;LVT;Centro Hospitalar do Oeste, E.P.E.;39.4054629, -9.1258493;Grupo B;399;5955;0.06288858126043155
2015-11;Alentejo;Unidade Local de Saúde do Litoral Alentejano, E.P.E.;38.0162314, -8.6956768;Grupo B;24;1856;0.01311110267410807
2015-11;LVT;Centro Hospitalar de Setúbal, E.P.E.;38.5283754, -8.8818638;Grupo C;318;6916;0.0440769008016075
2015-11;Norte;Hospital da Senhora da Oliveira Guimaraes, E.P.E.;41.4387173, -8.3086907;Grupo C;406;6228;0.061288526683743356
2015-11;Norte;Instituto Português de Oncologia, E.P.E. - Porto;41.1785642, -8.6062881;Grupo F;570;4835;0.10554336257202623
2015-12;Centro;Centro de Medicina de Reabilitacao da Regiao Centro Rovisco Pais;40.297919, -8.7707806;Grupo A;7;453;0.016259742941206825
2015-12;Centro;Hospital Dr. Francisco Zagalo  - Ovar;40.8571967, -8.6318023;Grupo A;39;382;0.09363095070124447
2015-12;LVT;Centro Hospitalar do Oeste, E.P.E.;39.4054629, -9.1258493;Grupo B;359;6909;0.04944310791800469
2015-12;Norte;Hospital de Santa Maria Maior, E.P.E. - Barcelos;41.5324234, -8.6171561;Grupo B;55;1806;0.029592345770603327
2015-12;Centro;Unidade Local de Saúde de Castelo Branco, E.P.E.;39.8212263, -7.4981271;Grupo B;274;3542;0.07193403214186574
2015-12;Centro;Centro Hospitalar de Leiria-Pombal, E.P.E.;39.7414812, -8.7982706;Grupo C;396;11577;0.033073984447021115
2015-12;LVT;Centro Hospitalar do Médio Tejo, E.P.E.;39.478072, -8.5404429;Grupo C;327;6443;0.048344615384615326
2015-12;Norte;Unidade Local de Saúde do Alto Minho, E.P.E.;41.7056054, -8.8252713;Grupo C;514;7083;0.06774685321332345
2015-12;Norte;Centro Hospitalar de Tras os Montes e Alto Douro, E.P.E.;41.3031784, -7.7515252;Grupo D;28;5474;0.005178967134254374
2015-12;Algarve;Centro Hospitalar Universitário do Algarve, E.P.E.;37.0238973, -7.9281554;Grupo D;524;14720;0.0343984764801201
2015-12;LVT;Hospital Garcia da Orta, E.P.E.;38.6658713, -9.1822554;Grupo D;428;12000;0.03448803195947147
2015-12;Norte;Centro Hospitalar Universitário de São João, E.P.E.;41.1831056, -8.6010558;Grupo E;1933;19823;0.08886109243879105
2015-12;LVT;Instituto Português de Oncologia, E.P.E. - Lisboa;38.7396768, -9.1634516;Grupo F;615;6062;0.09218642397032403
2015-12;Norte;Instituto Português de Oncologia, E.P.E. - Porto;41.1785642, -8.6062881;Grupo F;421;5189;0.0751166922517533
2016-01;Centro;Centro de Medicina de Reabilitacao da Regiao Centro Rovisco Pais;40.297919, -8.7707806;Grupo A;27;531;0.048456836141344856
2016-01;LVT;Centro Hospitalar do Oeste, E.P.E.;39.4054629, -9.1258493;Grupo B;518;7368;0.06569770542545164
2016-01;Centro;Centro Hospitalar de Leiria-Pombal, E.P.E.;39.7414812, -8.7982706;Grupo C;355;11484;0.030010996725783598
2016-01;Norte;Centro Hospitalar do Tâmega e Sousa, E.P.E.;41.2494561, -8.264901;Grupo C;1045;7045;0.12919410381227658
2016-01;LVT;Hospital Distrital de Santarém, E.P.E.;39.2410946, -8.6937515;Grupo C;384;8214;0.04471507946763148
2016-01;Alentejo;Unidade Local de Saúde do Baixo Alentejo, E.P.E.;38.014123, -7.8721227;Grupo C;26;3478;0.007419536754564204
2016-01;Alentejo;Unidade Local de Saúde do Norte Alentejano, E.P.E.;39.3003425, -7.4263845;Grupo C;252;4711;0.050851583550880826
2016-01;Norte;Centro Hospitalar de Tras os Montes e Alto Douro, E.P.E.;41.3031784, -7.7515252;Grupo D;260;11007;0.023117564468128047
2016-01;Norte;Centro Hospitalar de Vila Nova de Gaia/ Espinho, E.P.E.;41.1094138, -8.5972617;Grupo D;392;9951;0.03789640865697236
2016-01;Centro;Centro Hospitalar e Universitário de Coimbra, E.P.E.;40.2191523, -8.4098211;Grupo E;3331;33000;0.09168232365166983
2016-02;Norte;Centro Hospitalar do Médio Ave, E.P.E.;41.3423984, -8.4802503;Grupo B;173;3913;0.04248684542648008
2016-02;Norte;Centro Hospitalar de Entre Douro e Vouga, E.P.E.;40.9293884, -8.5458794;Grupo C;144;7417;0.019109679135923856
2016-02;Centro;Centro Hospitalar do Baixo Vouga, E.P.E.;40.6362453, -8.6543716;Grupo C;648;-441;1.0
2016-02;Centro;Centro Hospitalar Tondela-Viseu, E.P.E.;40.516364, -8.0827433;Grupo D;661;8959;0.06873641123062617
2016-02;LVT;Instituto Português de Oncologia, E.P.E. - Lisboa;38.7396768, -9.1634516;Grupo F;567;6179;0.08414390794295469
2016-02;LVT;Centro Hospitalar Psiquiátrico de Lisboa;38.7569771, -9.1460705;Psiquiátricos;0;315;0.0
2016-03;LVT;Centro Hospitalar do Oeste, E.P.E.;39.4054629, -9.1258493;Grupo B;435;7150;0.05741206283174982
2016-03;Centro;Unidade Local de Saúde da Guarda, E.P.E.;40.5309916, -7.2734793;Grupo B;433;5542;0.07252323019573512
2016-03;Norte;Centro Hospitalar de Entre Douro e Vouga, E.P.E.;40.9293884, -8.5458794;Grupo C;195;8725;0.02192383705180502
2016-03;Alentejo;Unidade Local de Saúde do Norte Alentejano, E.P.E.;39.3003425, -7.4263845;Grupo C;299;4736;0.05944639012442188
2016-03;Centro;Instituto Português de Oncologia, E.P.E. - Coimbra;40.2162514, -8.4103814;Grupo F;125;2116;0.05579175044603661
2016-03;LVT;Instituto Português de Oncologia, E.P.E. - Lisboa;38.7396768, -9.1634516;Grupo F;712;6678;0.09642212868310275
2016-03;Norte;Instituto Português de Oncologia, E.P.E. - Porto;41.1785642, -8.6062881;Grupo F;625;5806;0.0971977792989373
2016-04;Norte;Centro Hospitalar Póvoa de Varzim / Vila do Conde, E.P.E.;41.3828711, -8.7589945;Grupo B;80;1925;0.03996984751627812
2016-04;Centro;Centro Hospitalar de Leiria-Pombal, E.P.E.;39.7414812, -8.7982706;Grupo C;429;9714;0.042356887170157655
2016-04;LVT;Hospital Distrital de Santarém, E.P.E.;39.2410946, -8.6937515;Grupo C;356;7804;0.043645063525658785
2016-04;Norte;Unidade Local de Saúde de Matosinhos, E.P.E.;41.1794456, -8.6745115;Grupo C;460;5820;0.0733499668813613
2016-04;Norte;Centro Hospitalar de Vila Nova de Gaia/ Espinho, E.P.E.;41.1094138, -8.5972617;Grupo D;405;11498;0.034042719157317436
2016-04;LVT;Hospital Prof. Doutor Fernando Fonseca, E.P.E.;38.7422257, -9.2264834;Grupo D;1112;14301;0.07216676457475035
2016-04;Norte;Centro Hospitalar Universitário de São João, E.P.E.;41.1831056, -8.6010558;Grupo E;1471;17918;0.07590272901583152
2016-04;LVT;Instituto Português de Oncologia, E.P.E. - Lisboa;38.7396768, -9.1634516;Grupo F;684;6544;0.09465799966074159
2016-04;Norte;Instituto Português de Oncologia, E.P.E. - Porto;41.1785642, -8.6062881;Grupo F;545;5093;0.0967444013998655
2016-05;Centro;Hospital Dr. Francisco Zagalo  - Ovar;40.8571967, -8.6318023;Grupo A;22;392;0.0530120481927711
2016-05;LVT;Centro Hospitalar do Oeste, E.P.E.;39.4054629, -9.1258493;Grupo B;424;6725;0.059308286469103744
2016-05;Norte;Hospital de Santa Maria Maior, E.P.E. - Barcelos;41.5324234, -8.6171561;Grupo B;77;1758;0.04246080864769578
2016-05;Centro;Hospital Distrital Figueira da Foz, E.P.E.;40.117897, -8.8586755;Grupo B;171;2144;0.07417342418729897
2016-05;Norte;Unidade Local de Saúde do Nordeste, E.P.E.;41.8056532, -6.7888197;Grupo B;192;4919;0.037701404226534396
2016-05;Norte;Centro Hospitalar do Tâmega e Sousa, E.P.E.;41.2494561, -8.264901;Grupo C;990;7471;0.1170161425349393
2016-05;Alentejo;Unidade Local de Saúde do Baixo Alentejo, E.P.E.;38.014123, -7.8721227;Grupo C;23;3158;0.007281190134099622
2016-05;Alentejo;Unidade Local de Saúde do Norte Alentejano, E.P.E.;39.3003425, -7.4263845;Grupo C;343;4259;0.07462124944429747
2016-05;Centro;Centro Hospitalar Tondela-Viseu, E.P.E.;40.516364, -8.0827433;Grupo D;532;7791;0.06397257841336657
2016-05;LVT;Centro Hospitalar de Lisboa Ocidental, E.P.E.;38.708454, -9.216985;Grupo E;1221;12851;0.0867915999090221
2016-05;Norte;Hospital de Magalhaes de Lemos, E.P.E.;41.1764649, -8.6649823;Psiquiátricos;0;236;0.0
2016-06;LVT;Centro Hospitalar do Oeste, E.P.E.;39.4054629, -9.1258493;Grupo B;485;6593;0.06861906438282138
2016-06;Norte;Hospital de Santa Maria Maior, E.P.E. - Barcelos;41.5324234, -8.6171561;Grupo B;103;1770;0.05523577173788732
2016-06;Norte;Centro Hospitalar do Tâmega e Sousa, E.P.E.;41.2494561, -8.264901;Grupo C;906;7088;0.11340049612717051
2016-06;Alentejo;Unidade Local de Saúde do Norte Alentejano, E.P.E.;39.3003425, -7.4263845;Grupo C;226;3336;0.06348205663418327
2016-06;LVT;Centro Hospitalar Universitário de Lisboa Norte, E.P.E.;38.7500861, -9.1616116;Grupo E;1306;25383;0.04896266448527503
2016-06;Norte;Centro Hospitalar Universitário do Porto, E.P.E.;41.1472498, -8.6172617;Grupo E;1277;15892;0.07437690069852629
2016-06;LVT;Instituto Português de Oncologia, E.P.E. - Lisboa;38.7396768, -9.1634516;Grupo F;865;5896;0.12805817283910034
2016-06;Norte;Hospital de Magalhaes de Lemos, E.P.E.;41.1764649, -8.6649823;Psiquiátricos;0;251;0.0
2016-07;Centro;Unidade Local de Saúde da Guarda, E.P.E.;40.5309916, -7.2734793;Grupo B;236;4255;0.05259164116661838
2016-07;Norte;Centro Hospitalar de Entre Douro e Vouga, E.P.E.;40.9293884, -8.5458794;Grupo C;147;5389;0.02662252153956137
2016-07;Centro;Centro Hospitalar Universitário Cova da Beira, E.P.E.;40.2804158, -7.4922407;Grupo C;166;2698;0.057945799788341044
2016-07;Norte;Hospital da Senhora da Oliveira Guimaraes, E.P.E.;41.4387173, -8.3086907;Grupo C;684;7433;0.08432040522130094
2016-07;Norte;Unidade Local de Saúde do Alto Minho, E.P.E.;41.7056054, -8.8252713;Grupo C;512;7845;0.06136572748688939
2016-07;Alentejo;Unidade Local de Saúde do Baixo Alentejo, E.P.E.;38.014123, -7.8721227;Grupo C;23;2912;0.008003486828101402
2016-07;Norte;Centro Hospitalar de Tras os Montes e Alto Douro, E.P.E.;41.3031784, -7.7515252;Grupo D;291;9246;0.030569561363675547
2016-07;LVT;Centro Hospitalar Universitário Lisboa Central, E.P.E.;38.7166948, -9.1371248;Grupo E;1139;20386;0.05292012364804309
2016-07;Norte;Instituto Português de Oncologia, E.P.E. - Porto;41.1785642, -8.6062881;Grupo F;560;5387;0.09418190139863068
2016-07;Norte;Hospital de Magalhaes de Lemos, E.P.E.;41.1764649, -8.6649823;Psiquiátricos;0;294;0.0
2016-08;Centro;Hospital Dr. Francisco Zagalo  - Ovar;40.8571967, -8.6318023;Grupo A;13;316;0.03940531177829095
2016-08;LVT;Instituto de Oftalmologia Dr. Gama Pinto;38.7218793, -9.144249;Grupo A;0;2;0.0
2016-08;Alentejo;Unidade Local de Saúde do Litoral Alentejano, E.P.E.;38.0162314, -8.6956768;Grupo B;9;2158;0.004304593946115703
2016-08;Norte;Unidade Local de Saúde do Nordeste, E.P.E.;41.8056532, -6.7888197;Grupo B;145;4904;0.028733087060208568
2016-08;Centro;Centro Hospitalar do Baixo Vouga, E.P.E.;40.6362453, -8.6543716;Grupo C;382;6132;0.05877388878855856
2016-08;Centro;Centro Hospitalar Universitário Cova da Beira, E.P.E.;40.2804158, -7.4922407;Grupo C;168;2698;0.058746381209906225
2016-08;Norte;Unidade Local de Saúde de Matosinhos, E.P.E.;41.1794456, -8.6745115;Grupo C;496;6417;0.07178349936811507
2016-08;Algarve;Centro Hospitalar Universitário do Algarve, E.P.E.;37.0238973, -7.9281554;Grupo D;530;13994;0.036518326645660584
2016-08;LVT;Hospital Garcia da Orta, E.P.E.;38.6658713, -9.1822554;Grupo D;488;10554;0.04419987382964052
2016-08;Centro;Centro Hospitalar e Universitário de Coimbra, E.P.E.;40.2191523, -8.4098211;Grupo E;2643;29748;0.08159456065664143
2016-08;LVT;Centro Hospitalar Psiquiátrico de Lisboa;38.7569771, -9.1460705;Psiquiátricos;0;248;0.0
2016-08;Norte;Hospital de Magalhaes de Lemos, E.P.E.;41.1764649, -8.6649823;Psiquiátricos;0;315;0.0
2016-09;Centro;Centro de Medicina de Reabilitacao da Regiao Centro Rovisco Pais;40.297919, -8.7707806;Grupo A;26;335;0.07385616618459113
2016-09;LVT;Centro Hospitalar do Oeste, E.P.E.;39.4054629, -9.1258493;Grupo B;524;6036;0.0798817883325253
2016-09;Norte;Unidade Local de Saúde do Nordeste, E.P.E.;41.8056532, -6.7888197;Grupo B;126;4849;0.025489013933547675
2016-09;Centro;Centro Hospitalar de Leiria-Pombal, E.P.E.;39.7414812, -8.7982706;Grupo C;476;11006;0.0414827501657516
2016-09;Centro;Centro Hospitalar Universitário Cova da Beira, E.P.E.;40.2804158, -7.4922407;Grupo C;253;3055;0.07669466910541461
2016-09;Alentejo;Unidade Local de Saúde do Baixo Alentejo, E.P.E.;38.014123, -7.8721227;Grupo C;26;2896;0.009178514782743279
2016-09;Algarve;Centro Hospitalar Universitário do Algarve, E.P.E.;37.0238973, -7.9281554;Grupo D;542;12621;0.04122204779095252
2016-09;LVT;Hospital Garcia da Orta, E.P.E.;38.6658713, -9.1822554;Grupo D;521;12489;0.04010543757416725
2016-09;Centro;Centro Hospitalar e Universitário de Coimbra, E.P.E.;40.2191523, -8.4098211;Grupo E;2542;26211;0.08840625053047142
2016-09;LVT;Centro Hospitalar Universitário de Lisboa Norte, E.P.E.;38.7500861, -9.1616116;Grupo E;1898;26824;0.06611135981487555
2016-09;Centro;Instituto Português de Oncologia, E.P.E. - Coimbra;40.2162514, -8.4103814;Grupo F;204;1751;0.10462809313799094
2016-10;Centro;Hospital Arcebispo Joao Crisóstomo - Cantanhede;40.3470015, -8.5933462;Grupo A;0;204;0.0
2016-10;Norte;Centro Hospitalar do Médio Ave, E.P.E.;41.3423984, -8.4802503;Grupo B;214;3615;0.05595753145357791
2016-10;Centro;Unidade Local de Saúde da Guarda, E.P.E.;40.5309916, -7.2734793;Grupo B;348;5246;0.06220679631381323
2016-10;Norte;Unidade Local de Saúde do Nordeste, E.P.E.;41.8056532, -6.7888197;Grupo B;100;4742;0.02065030430517873
2016-10;Norte;Centro Hospitalar do Tâmega e Sousa, E.P.E.;41.2494561, -8.264901;Grupo C;1116;6627;0.14412050629123074
2016-10;Norte;Instituto Português de Oncologia, E.P.E. - Porto;41.1785642, -8.6062881;Grupo F;680;5142;0.11683159613082726
2016-11;Centro;Hospital Dr. Francisco Zagalo  - Ovar;40.8571967, -8.6318023;Grupo A;9;435;0.021345459408853823
2016-11;LVT;Centro Hospitalar do Oeste, E.P.E.;39.4054629, -9.1258493;Grupo B;512;6593;0.07207638870855726
2016-11;Norte;Unidade Local de Saúde do Nordeste, E.P.E.;41.8056532, -6.7888197;Grupo B;37;5493;0.006735398295808613
2016-11;LVT;Centro Hospitalar do Médio Tejo, E.P.E.;39.478072, -8.5404429;Grupo C;308;6221;0.047266846151532406
2016-11;Centro;Centro Hospitalar Universitário Cova da Beira, E.P.E.;40.2804158, -7.4922407;Grupo C;238;2681;0.08170484442608325
2016-11;Alentejo;Unidade Local de Saúde do Baixo Alentejo, E.P.E.;38.014123, -7.8721227;Grupo C;46;3413;0.013534318304185033
2016-11;Norte;Centro Hospitalar Universitário de São João, E.P.E.;41.1831056, -8.6010558;Grupo E;1150;19773;0.05499932942957506
2016-11;LVT;Centro Hospitalar Universitário Lisboa Central, E.P.E.;38.7166948, -9.1371248;Grupo E;1199;23030;0.04950794155237143
2016-11;LVT;Centro Hospitalar Psiquiátrico de Lisboa;38.7569771, -9.1460705;Psiquiátricos;0;358;0.0
2016-12;Centro;Hospital Dr. Francisco Zagalo  - Ovar;40.8571967, -8.6318023;Grupo A;14;426;0.03234698013781919
2016-12;Norte;Centro Hospitalar Póvoa de Varzim / Vila do Conde, E.P.E.;41.3828711, -8.7589945;Grupo B;79;2160;0.03534817956875218
2016-12;Centro;Hospital Distrital Figueira da Foz, E.P.E.;40.117897, -8.8586755;Grupo B;69;2887;0.023589393965828463
2016-12;Norte;Unidade Local de Saúde do Alto Minho, E.P.E.;41.7056054, -8.8252713;Grupo C;546;8337;0.06153079286553671
2016-12;Norte;Centro Hospitalar de Vila Nova de Gaia/ Espinho, E.P.E.;41.1094138, -8.5972617;Grupo D;198;12768;0.015302241534624993
2016-12;LVT;Hospital Garcia da Orta, E.P.E.;38.6658713, -9.1822554;Grupo D;551;14628;0.0363148985194454
2016-12;Norte;Centro Hospitalar Universitário de São João, E.P.E.;41.1831056, -8.6010558;Grupo E;974;20538;0.04527977581190156
2016-12;Centro;Instituto Português de Oncologia, E.P.E. - Coimbra;40.2162514, -8.4103814;Grupo F;107;1508;0.06672412396042808
2016-12;LVT;Instituto Português de Oncologia, E.P.E. - Lisboa;38.7396768, -9.1634516;Grupo F;763;5876;0.11492692792481035
2017-01;Centro;Centro de Medicina de Reabilitacao da Regiao Centro Rovisco Pais;40.297919, -8.7707806;Grupo A;11;359;0.029723991507430964
2017-01;Norte;Hospital de Santa Maria Maior, E.P.E. - Barcelos;41.5324234, -8.6171561;Grupo B;120;2632;0.04359277086549814
2017-01;Centro;Hospital Distrital Figueira da Foz, E.P.E.;40.117897, -8.8586755;Grupo B;131;3151;0.039903685760287765
2017-01;Centro;Centro Hospitalar de Leiria-Pombal, E.P.E.;39.7414812, -8.7982706;Grupo C;416;13131;0.030754419080510173
2017-01;Centro;Instituto Português de Oncologia, E.P.E. - Coimbra;40.2162514, -8.4103814;Grupo F;78;1759;0.042493780449880794
2017-01;LVT;Instituto Português de Oncologia, E.P.E. - Lisboa;38.7396768, -9.1634516;Grupo F;685;5225;0.11593549114694933
2017-02;Centro;Hospital Dr. Francisco Zagalo  - Ovar;40.8571967, -8.6318023;Grupo A;4;287;0.015954415954415938
2017-02;Centro;Unidade Local de Saúde da Guarda, E.P.E.;40.5309916, -7.2734793;Grupo B;132;3680;0.034640049454563615
2017-02;Norte;Centro Hospitalar de Entre Douro e Vouga, E.P.E.;40.9293884, -8.5458794;Grupo C;274;6188;0.04243296842286229
2017-02;LVT;Centro Hospitalar de Setúbal, E.P.E.;38.5283754, -8.8818638;Grupo C;244;6641;0.0354379515978719
2017-02;Alentejo;Unidade Local de Saúde do Norte Alentejano, E.P.E.;39.3003425, -7.4263845;Grupo C;295;4215;0.06551187032052572
2017-02;LVT;Hospital Garcia da Orta, E.P.E.;38.6658713, -9.1822554;Grupo D;345;11932;0.028132761294594993
2017-03;Centro;Unidade Local de Saúde da Guarda, E.P.E.;40.5309916, -7.2734793;Grupo B;628;10340;0.05725645087501368
2017-03;Centro;Centro Hospitalar Universitário Cova da Beira, E.P.E.;40.2804158, -7.4922407;Grupo C;289;3344;0.07956968817461417
2017-03;LVT;Hospital Prof. Doutor Fernando Fonseca, E.P.E.;38.7422257, -9.2264834;Grupo D;1108;16188;0.06407787170614375
2017-03;LVT;Centro Hospitalar Universitário de Lisboa Norte, E.P.E.;38.7500861, -9.1616116;Grupo E;2069;28587;0.06750711417691196
2017-03;Norte;Centro Hospitalar Universitário do Porto, E.P.E.;41.1472498, -8.6172617;Grupo E;1043;14768;0.06601928200608344
2017-04;LVT;Centro Hospitalar do Oeste, E.P.E.;39.4054629, -9.1258493;Grupo B;480;6104;0.072968143101589
2017-04;Alentejo;Unidade Local de Saúde do Litoral Alentejano, E.P.E.;38.0162314, -8.6956768;Grupo B;15;1891;0.00786603599647901
2017-04;LVT;Centro Hospitalar de Setúbal, E.P.E.;38.5283754, -8.8818638;Grupo C;290;6783;0.041043644444053486
2017-04;Norte;Centro Hospitalar do Tâmega e Sousa, E.P.E.;41.2494561, -8.264901;Grupo C;860;7184;0.10700733264428716
2017-04;Alentejo;Unidade Local de Saúde do Baixo Alentejo, E.P.E.;38.014123, -7.8721227;Grupo C;16;3142;0.005169964465914809
2017-04;Centro;Centro Hospitalar e Universitário de Coimbra, E.P.E.;40.2191523, -8.4098211;Grupo E;2515;28668;0.0806770514770336
2017-04;Norte;Centro Hospitalar Universitário do Porto, E.P.E.;41.1472498, -8.6172617;Grupo E;1025;13509;0.07054216677512104
2017-04;LVT;Centro Hospitalar Psiquiátrico de Lisboa;38.7569771, -9.1460705;Psiquiátricos;0;391;0.0
2017-05;Norte;Centro Hospitalar do Médio Ave, E.P.E.;41.3423984, -8.4802503;Grupo B;86;3467;0.024387057440229922
2017-05;LVT;Centro Hospitalar do Oeste, E.P.E.;39.4054629, -9.1258493;Grupo B;631;6433;0.08943665907240694
2017-05;Centro;Hospital Distrital Figueira da Foz, E.P.E.;40.117897, -8.8586755;Grupo B;245;2203;0.10004520993451854
2017-05;Centro;Unidade Local de Saúde da Guarda, E.P.E.;40.5309916, -7.2734793;Grupo B;206;4360;0.045217897556323605
2017-05;LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;38.6554005, -9.0592392;Grupo C;435;5659;0.07149481916646351
2017-05;Norte;Centro Hospitalar do Tâmega e Sousa, E.P.E.;41.2494561, -8.264901;Grupo C;878;7637;0.10312608127834619
2017-05;Norte;Unidade Local de Saúde do Alto Minho, E.P.E.;41.7056054, -8.8252713;Grupo C;476;7680;0.05838969667424664
2017-05;Centro;Centro Hospitalar Tondela-Viseu, E.P.E.;40.516364, -8.0827433;Grupo D;684;7456;0.08409756791837843
2017-05;Norte;Centro Hospitalar Universitário do Porto, E.P.E.;41.1472498, -8.6172617;Grupo E;1110;13976;0.0735821467529041
2017-05;LVT;Centro Hospitalar Universitário Lisboa Central, E.P.E.;38.7166948, -9.1371248;Grupo E;1094;21531;0.04836599638175792
2017-05;LVT;Instituto Português de Oncologia, E.P.E. - Lisboa;38.7396768, -9.1634516;Grupo F;668;5027;0.11730544015839689
2017-05;LVT;Centro Hospitalar Psiquiátrico de Lisboa;38.7569771, -9.1460705;Psiquiátricos;0;357;0.0
2017-06;Norte;Centro Hospitalar Póvoa de Varzim / Vila do Conde, E.P.E.;41.3828711, -8.7589945;Grupo B;26;1656;0.015450243001761491
2017-06;Norte;Unidade Local de Saúde do Nordeste, E.P.E.;41.8056532, -6.7888197;Grupo B;179;4459;0.03864323086873053
2017-06;Centro;Centro Hospitalar de Leiria-Pombal, E.P.E.;39.7414812, -8.7982706;Grupo C;508;10872;0.04466654904359189
2017-06;Alentejo;Unidade Local de Saúde do Baixo Alentejo, E.P.E.;38.014123, -7.8721227;Grupo C;19;2829;0.006902055157949273
2017-06;LVT;Hospital Prof. Doutor Fernando Fonseca, E.P.E.;38.7422257, -9.2264834;Grupo D;972;12351;0.07299023870595783
2017-06;Centro;Centro Hospitalar e Universitário de Coimbra, E.P.E.;40.2191523, -8.4098211;Grupo E;2449;28456;0.07925903946202531
2017-06;Norte;Centro Hospitalar Universitário de São João, E.P.E.;41.1831056, -8.6010558;Grupo E;1167;18806;0.05844958700770632
2017-07;Centro;Hospital Dr. Francisco Zagalo  - Ovar;40.8571967, -8.6318023;Grupo A;8;340;0.024385245901639322
2017-07;Norte;Centro Hospitalar do Médio Ave, E.P.E.;41.3423984, -8.4802503;Grupo B;121;3174;0.036816220521647305
2017-07;Norte;Centro Hospitalar Póvoa de Varzim / Vila do Conde, E.P.E.;41.3828711, -8.7589945;Grupo B;73;1640;0.04278490859587708
2017-07;Norte;Unidade Local de Saúde de Matosinhos, E.P.E.;41.1794456, -8.6745115;Grupo C;287;5831;0.047048654228867025
2017-07;Alentejo;Unidade Local de Saúde do Baixo Alentejo, E.P.E.;38.014123, -7.8721227;Grupo C;11;2909;0.003936807314473881
2017-07;Centro;Centro Hospitalar Tondela-Viseu, E.P.E.;40.516364, -8.0827433;Grupo D;708;7979;0.08155302554498621
2017-07;Alentejo;Hospital Espírito Santo, E.P.E. - Evora;38.5684861, -7.9032848;Grupo D;229;3916;0.05534891666511149
2017-07;Centro;Centro Hospitalar e Universitário de Coimbra, E.P.E.;40.2191523, -8.4098211;Grupo E;2694;26685;0.09172553101498407
2017-07;Norte;Centro Hospitalar Universitário de São João, E.P.E.;41.1831056, -8.6010558;Grupo E;935;20074;0.04451841179058718
2017-07;LVT;Centro Hospitalar Universitário Lisboa Central, E.P.E.;38.7166948, -9.1371248;Grupo E;985;21542;0.04372869909072871
2017-07;Centro;Instituto Português de Oncologia, E.P.E. - Coimbra;40.2162514, -8.4103814;Grupo F;122;1670;0.0682178776512761
2017-07;Norte;Instituto Português de Oncologia, E.P.E. - Porto;41.1785642, -8.6062881;Grupo F;471;4914;0.08754470974446785
2017-08;Centro;Hospital Arcebispo Joao Crisóstomo - Cantanhede;40.3470015, -8.5933462;Grupo A;0;136;0.0
2017-08;Centro;Hospital Dr. Francisco Zagalo  - Ovar;40.8571967, -8.6318023;Grupo A;8;192;0.04148639838795707
2017-08;Norte;Centro Hospitalar do Médio Ave, E.P.E.;41.3423984, -8.4802503;Grupo B;144;3449;0.04007268474730125
